match_status,distance_m,ienc_name,ienc_waterway,ienc_lat,ienc_lon,ienc_length_m,ienc_width_m,ienc_rise_m,app_id,app_name,app_lat,app_lon
no_match,44323.2,Sluiskolk Prins Bernhardsluis Deventer,Netherlands waterway,52.244861,6.169157,,12.0,,w_osm_5732860832,Keersluis de Whaa,52.6382907,6.0640951
no_match,45047.9,Sluiskolk sluis 12,Netherlands waterway,51.350134,5.743335,,9.8,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,45729.4,Sportbootschleuse Mühlheim,Main,50.125195,8.870301,20.0,4.0,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,45807.0,Mühlheim,Main,50.124868,8.872126,299.9,12.04,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,46242.5,Schleuse Zeltingen,Mosel,49.949214,7.021967,170.0,12.0,,lk294,Kanzem,49.6589,6.5606
no_match,46293.8,Sportbootschleuse Zeltingen,Mosel,49.949693,7.022245,18.0,33.0,,lk294,Kanzem,49.6589,6.5606
no_match,46306.6,Sluis Lozen,Zuid-Willemsvaart,51.207139,5.555672,52.0,6.7,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,46322.5,Sluis Bocholt,Zuid-Willemsvaart,51.188651,5.564096,52.0,6.7,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,47162.0,Sluiskolk sluis 13,Netherlands waterway,51.330225,5.746698,,9.8,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,47468.1,Schleuse Bruttig-Fankel,Mosel,50.124221,7.228891,210.0,125.0,,w_osm_435099495,Schleuse Hollerich,50.3047432,7.8334156
no_match,47497.8,Schleuse Bruttig-Fankel,Mosel,50.124397,7.2283,170.0,12.0,,w_osm_435099495,Schleuse Hollerich,50.3047432,7.8334156
no_match,47530.0,Bootsschleuse Bruttig-Fankel,Mosel,50.124258,7.227904,18.0,32.0,,w_osm_435099495,Schleuse Hollerich,50.3047432,7.8334156
no_match,47574.5,Nürnberg,Main-Donau-Kanal,49.415028,11.057984,190.0,12.0,,w_osm_431045692,Schleuse Strullendorf,49.8378599,10.9571439
no_match,48124.0,Tassi-zsilip hajozsilip,Donau,47.032799,18.977237,70.0,8.2,,w_osm_3472331974,Kvassay-zsilip,47.4610453,19.069372
no_match,48165.4,Sportbootschleuse Krotzenburg,Main,50.079288,8.960853,20.0,4.0,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,48211.4,Oostkolk sluis Belfeld,Maas,51.32127,6.112744,,16.0,,w_osm_431048243,Schleuse Duisburg Meiderich,51.4509123,6.7757186
no_match,48263.0,Middenkolk sluis Belfeld,Maas,51.321488,6.111855,,16.0,,w_osm_431048243,Schleuse Duisburg Meiderich,51.4509123,6.7757186
no_match,48284.0,Westkolk sluis Belfeld,Maas,51.321623,6.111469,,16.0,,w_osm_431048243,Schleuse Duisburg Meiderich,51.4509123,6.7757186
no_match,48293.2,"Krotzenburg, linke Kammer",Main,50.079552,8.962681,300.0,12.0,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,48302.0,"Krotzenburg, rechte Kammer",Main,50.079805,8.962597,302.3,12.0,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,48510.0,Eichel,Main,49.756673,9.551811,299.92,12.0,,w_osm_1783525870,Schleuse Wipfeld,49.9140587,10.1826531
no_match,48523.1,Sportbootschleuse Eichel,Main,49.75564,9.552244,12.1,2.5,,w_osm_1783525870,Schleuse Wipfeld,49.9140587,10.1826531
no_match,49200.0,"Altenwörth, rechte Kammer",Donau,48.377151,15.857667,230.0,24.0,,w_osm_11346584951,Teichschleuse,48.0547616,16.3124842
no_match,49213.5,"Altenwörth, linke Kammer",Donau,48.37747,15.85791,230.0,24.0,,w_osm_11346584951,Teichschleuse,48.0547616,16.3124842
no_match,49325.0,"Altenwörth, rechte Kammer",Donau,48.377699,15.856076,230.0,24.0,,w_osm_11346584951,Teichschleuse,48.0547616,16.3124842
no_match,49338.3,Altenwörth linke Kammer,Donau,48.378013,15.856314,230.0,24.0,,w_osm_11346584951,Teichschleuse,48.0547616,16.3124842
no_match,50440.3,Sportbootschleuse Kleinostheim,Main,50.006521,9.045784,13.7,3.51,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,50511.6,"Kleinostheim, linke Kammer",Main,50.005321,9.047441,298.36,12.04,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,50525.2,"Kleinostheim, rechte Kammer",Main,50.005509,9.047547,298.22,12.02,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,50970.1,Eibach,Main-Donau-Kanal,49.384745,11.064105,190.0,12.0,,w_osm_431045692,Schleuse Strullendorf,49.8378599,10.9571439
no_match,51406.6,Straubing,Donau,48.899886,12.553767,230.0,24.0,,w_osm_2337043356,Schleuse Kelheim,48.924444,11.8513184
no_match,52680.1,,Netherlands waterway,51.278058,5.761077,,,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,53362.0,Sluiskolk sluis 15 Nederweert,Netherlands waterway,51.272968,5.750577,,15.5,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,53706.5,Schleuse Enkirch,Mosel,49.97533,7.126147,170.0,12.0,,lk294,Kanzem,49.6589,6.5606
no_match,53736.4,Bootsschleuse Enkirch,Mosel,49.975749,7.126138,18.0,32.0,,lk294,Kanzem,49.6589,6.5606
no_match,54313.2,Obernau,Main,49.934675,9.127243,299.18,12.0,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,54390.4,Sportbootschleuse Obernau,Main,49.934024,9.128476,11.9,2.5,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,54542.0,Hilpoltstein,Main-Donau-Kanal,49.194297,11.226224,190.0,12.0,,w_osm_2337043356,Schleuse Kelheim,48.924444,11.8513184
no_match,55060.9,Sluiskolk sluis 16 Weert,Netherlands waterway,51.245304,5.668157,,15.8,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,55217.2,Faulbach,Main,49.78118,9.440628,299.8,12.1,,w_osm_1783525870,Schleuse Wipfeld,49.9140587,10.1826531
no_match,55225.8,Sportbootschleuse Faulbach,Main,49.780883,9.440635,12.1,2.5,,w_osm_1783525870,Schleuse Wipfeld,49.9140587,10.1826531
no_match,55355.6,Bootsschleuse St. Aldegund,Mosel,50.087402,7.133783,18.0,32.0,,w_osm_435099495,Schleuse Hollerich,50.3047432,7.8334156
no_match,55406.0,Schleuse St. Aldegund,Mosel,50.086888,7.133389,170.0,12.0,,w_osm_435099495,Schleuse Hollerich,50.3047432,7.8334156
no_match,55958.2,Sluis Lanaken,Zuid-Willemsvaart,50.885046,5.654843,55.2,7.3,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,56086.6,Sportbootsschleuse Wallstadt,Main,49.868759,9.159565,12.0,2.55,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,56096.0,Wallstadt,Main,49.870194,9.15968,299.93,12.0,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,57074.4,Sluis Neerharen,Zuid-Willemsvaart,50.901756,5.682992,55.2,7.3,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,58332.8,Klingenberg,Main,49.779308,9.179712,300.71,12.05,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,58400.8,Sportbootschleuse Klingenberg,Main,49.778482,9.180457,11.6,2.5,,w_osm_82732302,Pumpwerk Wächterstadt,49.8632878,8.3770807
no_match,58492.9,Eckersmühlen,Main-Donau-Kanal,49.210549,11.177547,190.0,12.0,,w_osm_2337043356,Schleuse Kelheim,48.924444,11.8513184
no_match,58864.7,Sluiskolk sluis Bosscherveld,Maas,50.867231,5.687587,,16.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,59068.5,,Maas,50.862501,5.687323,,,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,59398.7,,Maas,50.869466,5.697538,,,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,59644.5,Sluiskolk sluis Roermond,Maas,51.212148,5.981063,,16.0,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,59797.6,Sluiskolk sluis 20 Maastricht,Maas,50.855985,5.693939,,,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,61483.2,Westkolk sluis Born,Maas,51.035851,5.797432,,14.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,61566.1,Middenkolk sluis Born,Maas,51.035139,5.798515,,16.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,61603.7,Oostkolk sluis Born,Maas,51.035435,5.799099,,16.0,,w_osm_2619086109,Trammetje,51.0848209,4.9211216
no_match,61787.6,Leerstetten,Main-Donau-Kanal,49.291415,11.112606,190.0,12.0,,w_osm_431045692,Schleuse Strullendorf,49.8378599,10.9571439
no_match,63332.8,Sluiskolk sluis Linne,Maas,51.176235,5.924346,,16.0,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,63410.4,Westkolk sluis Heel,Maas,51.175405,5.918777,,15.5,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,63464.6,Oostkolk sluis Heel,Maas,51.174921,5.91894,,15.5,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
no_match,63475.1,Oude kolk sluis Panheel,Netherlands waterway,51.17469,5.86155,,7.5,,w_osm_7689052836,"Mook, keersluis",51.7453193,5.8867625
